glottocode	clim_PC1	clim_PC2	clim_PC3	latitude	longitude
manx1243	2.19441019348932	-2.75094563289166	1.22161317488278	54.26	-4.454
maor1246	0.494553269165807	-3.1832310425985	1.53931746227228	-38.288	176.541
mara1378	-1.36693773105209	2.89356083172699	-0.119869197416496	17.934	76.667
mari1278	4.79971432937091	-0.855637194098143	-0.89900219516697	55.83	48.41
maya1287	-0.954332770652535	0.0701967672036148	-0.108025295250807	15.42	268.17
mesc1238	2.51255880101372	0.575706496865945	0.385005051622814	33.129	254.434
meso1252	1.21550672942691	3.8071072431028	1.11993060866246	33.818	43.11
minn1241	-0.3668894487267	0.412155845126616	-0.40963394488853	24.5	118.17
mode1248	2.27945998866256	0.174063822225362	0.665908790814853	42.322	24.87
moks1248	4.34485519625191	-0.778128106555236	-0.557892868858887	54.186	42.673
moro1292	1.0896680482972	2.48819359839019	1.62787325551709	32.5	-7.5
muyu1244	-6.32227121152075	-5.7616433906385	0.246314822443553	-9.195	152.731
nava1243	3.06866528088743	1.26774212777516	0.807924418218984	36.211	249.918
nene1249	7.14023031440689	-1.97599826583626	-1.21228141159395	66.178	71.023
nepa1254	-1.36179296835997	-0.446315259761883	-3.78340545656026	28	85
newa1246	-2.38745522734332	0.801731860307356	-3.88643628705875	27.261	84.958
nhen1239	-5.37885671706065	-3.55370549253394	1.15512286208815	1.045	293.035
nilo1247	-2.31967259068079	0.991859215684063	1.30281829222801	4.75	29.75
nort2945	5.71097424981392	-1.34642567397339	-0.744322162371306	64.78	198.193
norw1258	3.65019220606963	-1.81431794177573	0.129138721952945	59.92	10.71
nucl1235	4.30028752490393	-0.57367903632499	0.415586225111402	40	45
nucl1301	2.86321357761273	0.686610742355972	1.15746984888557	39.867	32.867
nucl1347	-1.46188542508357	4.13737775660901	0.885230290695311	15.253	-15.383
nucl1643	0.997928506682844	-1.12113237488405	-1.07861680954142	35	135
nucl1710	-3.07706755645699	1.60994826697765	-0.297358222367295	-11	310
nyan1307	-1.05803737454794	0.207222966240775	2.14423449475257	-0.464	30.548
nyun1247	1.40998414916648	1.14167143228438	1.88933843742043	-33.12	118.151
otom1299	0.651290019900516	1.37913143845239	1.12798962674122	17.67	262.58
pama1250	-3.32070284799356	0.925492617793732	-1.7655811020967	-12.17	142.49
pano1254	-3.11172894098591	-0.348291146152587	0.526508682260556	-7.975	288.438
pano1259	-3.23465711266783	-0.316661348727118	1.26605718960589	-7.5	285
pare1266	-1.44683135271168	1.44275541234665	-0.487910230848319	19.075	83.972
peno1244	-0.0758108103401754	1.37658330967597	0.785572960422867	17.067	262.99
poli1260	3.30611095762905	-0.548859288566113	-0.0431376870562459	51.844	18.626
pott1240	-1.44400934849216	1.36300686201956	-1.23361353271133	18.597	82.759
pula1263	-1.97882249458668	3.66741525711246	0.271479894588778	13.869	-13.448
rian1262	-2.68611717923744	0.127242213457249	-2.95430098480591	23.68	92.032
rund1242	-1.51553130320428	0.318769134340493	0.994989395823174	-1.442	31.319
russ1263	4.96727758846752	-1.24858573917854	-1.00174274470212	59	50
samo1305	-6.44915021662849	-5.00940587125398	-3.03757737889221	-13.92	188.17
scot1245	1.27685248987292	-4.06944830849623	0.486427243237173	56.757	-5.244
sere1260	-2.08913182283284	3.34910846907252	0.155034115031363	13.894	-16.392
shua1257	-4.01750223975544	-4.09064266008563	1.0036804588891	-3.451	281.811
sici1248	1.61523885600594	0.455773577042293	1.02872164975754	37.574	14.041
sind1272	-0.191341373618342	4.84062031387719	0.0979359038520134	26	69
sino1245	-1.20247824977154	-0.668131092520526	-3.01496171890369	26.1	94.75
sout2807	2.05314509930701	0.0460051465071859	0.603156743827297	-30.445	27.895
sout3123	1.78675699870877	2.70696381156768	1.50027717752362	31.56	38.084
stan1288	2.85096376876586	-0.400202114164046	0.897423968462594	40.441	-1.118
stan1290	2.54420120364204	-1.29255249540323	1.48625704906933	48	2
stan1293	2.39153056617449	-1.46598260835047	1.21643671710505	53	-1
stan1295	2.70065708971982	-1.32344652824384	0.157356266839423	48.649	12.468
stan1318	0.893044313178159	3.5964446225346	1.22338150608457	27.963	43.853
swis1247	2.11036226055034	-2.554302996957	-0.14268576586655	47.052	8.464
taga1270	-4.03698531149894	-1.00908417867468	-0.12132839069334	14.06	121.747
taik1256	-1.04026141417557	-0.00818804967840638	-1.85982860121605	24	108
tata1255	4.82335019866939	-0.844940354179099	-0.850005418046738	55	50
telu1262	-1.37774298299498	3.17274385893708	0.243770156749218	16.453	78.702
teso1249	-1.93038936338177	0.572651372094543	1.83118288084735	1.183	33.939
thai1261	-2.50188154168161	1.75176559027976	-0.100429252923869	14.192	100.671
ticu1244	-4.30550218290844	-2.66147908229168	0.996008573836471	-3.66	290.13
ticu1245	-4.30550218290844	-2.66147908229168	0.996008573836471	-3.663	290.128
tigr1270	0.313540150764266	1.98419427112355	1.24823793406308	17.349	38.223
tong1325	-2.3505571784178	-1.49390551683395	0.651019320772282	-21.17	184.75
tswa1253	0.730356911962957	2.3058256695346	0.830875460257867	-24.368	24.759
tuni1259	1.38507006138307	2.44509896199289	1.43972259999401	33.797	9.562
tupi1275	-3.1214144553883	0.577916874228242	-0.0658898552907582	-8	298
turk1311	7.41137190614478	-0.73173308767066	-3.05328200763873	56	125
tzel1254	-0.260781757307315	-0.33964937599158	0.878817464786137	16.638	267.721
tzot1259	-1.54267887460307	1.36869954313388	-0.00917425027462059	16.64	267.26
ukra1253	3.50717566215738	-1.91106671779112	-0.202617487728845	48.176	24.396
ural1272	5.02767107757318	-1.81584519776448	-0.162479488349854	68	30
urdu1245	-0.369228274576402	3.21710724815216	0.471494642879092	25	67
utoa1244	-0.431845838440372	3.76011301595319	0.653727300879989	27.5	249.75
vasa1239	-2.13317275141276	3.43548339153047	-1.33723417767619	21.362	73.865
vend1245	0.120607221346668	2.62106992668056	0.918601207936791	-22.188	29.952
viet1252	-1.8545470788034	0.436008941232713	-2.21484712782904	20.681	105.774
wall1257	-5.14293353294385	-3.47796498860708	0.12930442320656	-13.29	183.793
wels1247	1.65651552423595	-2.87891305490937	1.08196725687614	52	-4
west2369	2.39516158100512	2.25132977401967	1.28315686975225	28.659	55.159
west2386	-0.0545150488302929	3.90579159086236	-0.415134665800179	30.095	75.347
xava1240	-2.04344729748703	1.69014780832777	0.085753740825895	-14.302	307.563
xhos1239	1.82119740129623	-0.00655476881125017	0.648602351613244	-31.039	28.077
yano1261	-4.153880321362	-2.40167638711562	1.24628862783544	1.68	295.122
yano1268	-4.153880321362	-2.40167638711562	1.24628862783544	1.68	295.12
yoru1245	-2.72131461844219	0.8944782525644	1.01745532870072	7.153	3.672
yuca1254	-1.87262623325523	1.10882329776951	0.967969479368649	18.776	271.043
yucu1253	-4.9192470888321	-3.63402341886978	1.16420019096124	-0.761	288.997
yuec1235	-1.13075495045521	0.100087968195879	-1.61677409482577	23	113
zulu1248	-0.287433547655903	1.36346274277886	0.636779639365172	-25.331	31.351
