glottocode	longitude	latitude	UV_305_mean	UV_305_sd	UV_310_mean	UV_310_sd	UV_325_mean	UV_325_sd	UV_380_mean	UV_380_sd	UV_A_mean	UV_A_sd	UV_B_mean	UV_B_sd	UV_mean	UV_sd
awng1244	36.692	10.982	84.8260869565217	21.2251696362351	120.93115942029	27.8064539289964	402.576086956522	85.789454791132	716.485507246377	157.428089696725	559.530797101449	201.797024203089	102.878623188406	30.6141868277526	331.204710144928	270.16812490871
cent2142	291.5	-17	80.818661971831	27.271014595585	118.619718309859	34.4759315633992	402.102112676056	100.125540257095	723.302816901409	176.2927211362	562.702464788732	215.299417106177	99.7191901408451	36.3635130429453	331.210827464789	278.303183449103
kara1465	42.261	43.565	23.4749253731343	17.9356208459352	47.6101492537313	29.3041854673663	222.940298507463	102.949159099004	416.832835820896	187.419113401706	319.886567164179	179.556900970848	35.5425373134328	27.114084880991	177.714552238806	191.581812454898
basq1248	-1.32	43.28	22.2110119047619	18.6991012040329	45.0318452380952	30.1515034775725	214.827380952381	105.850076856059	402.75	192.082981135214	308.78869047619	181.262512262698	33.6214285714286	27.5470222946221	171.20505952381	189.045771671155
bela1254	25.604	53.231	10.7328488372093	10.559331027288	26.4279069767442	21.85379139925	155.767441860465	92.8214593187099	300.186046511628	174.222839888584	227.976744186047	157.092716983068	18.5803779069767	18.8623553653768	123.278561046512	153.223802180283
krio1252	137.669	-18.135	69.5261324041812	26.2369217508729	103.135888501742	33.1028118906	353.449477351916	102.39586245707	627.839721254355	185.106854674468	490.644599303136	202.955739714777	86.3310104529617	34.2553064134059	288.487804878049	249.132015138769
bhil1251	73.959	20.85	74.7927835051546	19.5939113383655	112.419243986254	25.1277324630938	394.975945017182	80.7897832311419	714.941580756014	145.31509173437	554.958762886598	198.586246845013	93.6060137457045	29.3485126732279	324.282388316151	270.903921867195
biet1238	92.943	24.274	68.0100334448161	23.0881873614293	104.598662207358	29.9113813866785	378.123745819398	98.2999863690222	685.14381270903	174.745057020792	531.633779264214	208.974872050463	86.304347826087	32.371659459682	308.969063545151	268.256528190111
bulg1262	25.047	43.365	22.1622023809524	17.3384698639929	44.9523809523809	28.5020165872175	211.22619047619	99.0389763396181	394.261904761905	181.075319962839	302.744047619048	172.205557584176	33.5572916666667	26.1859880015389	168.150669642857	182.44944607165
yuec1235	113	23	72.3802675585284	21.3140006274506	110.294314381271	27.6704055518561	393.682274247492	91.1594741006132	711.09364548495	162.494515941808	552.387959866221	206.295587290493	91.3372909698997	31.1274469526155	321.86262541806	273.736336017645
cham1312	144.745	13.438	84.6241007194245	16.4312338532223	122.194244604317	21.5603854201037	418.985611510791	66.82824427334	751.223021582734	119.882375755696	585.104316546763	192.476164194779	103.40917266187	26.8378569256065	344.256744604317	277.356161097034
mand1415	116.228	40.021	28.4929230769231	21.417070447489	54.9550769230769	34.4556327762167	244.532307692308	126.194183490439	454.003076923077	233.550249681532	349.267692307692	214.866136782432	41.724	31.5753684305571	195.495846153846	217.320178321641
chot1239	94.241	24.372	67.0764119601329	22.8072534167617	103.627906976744	29.7481834505008	374.21926910299	96.4531583764749	677.574750830565	173.071561000128	525.897009966777	206.495146710534	85.3521594684385	32.1862131425924	305.624584717608	265.292705725141
chuv1255	47.163	55.487	11.6857558139535	13.4416458500757	27.4017441860465	26.4411960444474	153.823255813953	109.804192461309	294.988372093023	206.003268913804	224.405813953488	179.43422710964	19.54375	22.3853739785303	121.974781976744	163.819199929089
czec1258	15.104	49.873	13.7005847953216	12.3571461608492	31.574269005848	23.2660384291243	173.555555555556	90.4728932435597	331.643274853801	168.195725251158	252.599415204678	156.422346775222	22.6374269005848	20.651388017381	137.618421052632	160.213638587995
dani1285	9.363	54.866	9.06308139534884	9.58643677646482	22.9136627906977	19.8495629186359	141.18023255814	82.3768420000727	273.206395348837	152.507384956496	207.193313953488	139.156124238278	15.9883720930233	17.0478232624147	111.590843023256	137.720223284539
