glottocode	latitude	longitude	humidity_overall_mean	humidity_overall_median	humidity_overall_sd	humidity_overall_IQR	humidity_mean_annual_mean	humidity_mean_annual_median	humidity_mean_annual_sd	humidity_mean_annual_IQR
bela1254	53.231	25.604	0.00641476630888845	0.00600500009022653	0.00319235527723799	0.00571750017115846	0.00641246694569764	0.00599610483429084	0.00329039185274753	0.0054039760507294
krio1252	-18.135	137.669	0.0098661481335516	0.00904999999329448	0.00446541980666858	0.0073149997042492	0.00987864557251182	0.00902020621126414	0.00453327335595459	0.00683057118213684
bhil1251	20.85	73.959	0.0124392875536434	0.0115950000472367	0.0050015455249245	0.00990500033367425	0.0124309406791383	0.0114386263982548	0.00517656646348174	0.00950968929909221
biet1238	24.274	92.943	0.0128547369371144	0.0138500002212822	0.00551870837184209	0.0115224996116012	0.0128416157178755	0.0137693145790965	0.00572788295881087	0.0111648839309863
bulg1262	43.365	25.047	0.00693563204709145	0.00663499999791384	0.00280191531765961	0.00477499968837947	0.00693123191462017	0.00657128818177928	0.00287194251591543	0.00447541004460719
yuec1235	23	113	0.0133818824184485	0.0138149997219443	0.00521960203951262	0.0102125003468245	0.0133762243548858	0.0136707826685678	0.00541932799167606	0.00932179933200435
cham1312	13.438	144.745	0.0192769915234549	0.0193900000303984	0.000778826108111991	0.00109749985858798	0.019275498767436	0.0194351652171463	0.000634188778158288	0.000824971920034538
mand1415	40.021	116.228	0.00541946888396013	0.00404000002890825	0.0041493597598346	0.00633250002283603	0.00541149998904113	0.00423833263468825	0.00419837016813922	0.00584329859864536
chot1239	24.372	94.241	0.0128547369371144	0.0138500002212822	0.00551870837184209	0.0115224996116012	0.0128416157178755	0.0137693145790965	0.00572788295881087	0.0111648839309863
chuv1255	55.487	47.163	0.00539316444661542	0.00453000003471971	0.00340973302929836	0.00614749966189265	0.00538609295829243	0.00458674653297445	0.003519363666347	0.00588016386205305
czec1258	49.873	15.104	0.00673257517544249	0.00624500005505979	0.00289040107756807	0.00516000029165298	0.00672874310869261	0.00636402778198115	0.0029785073559202	0.00484712882623878
dani1285	54.866	9.363	0.00595222598474716	0.00553000019863248	0.00191246810997215	0.00330750003922731	0.00594904253751588	0.00553239860326155	0.00195832839649254	0.00308822118111291
dubl1239	21.516	73.218	0.0111541509292347	0.0100150001235306	0.00554374279682417	0.0104549999814481	0.0111412721760617	0.00976971805600139	0.00572960949447563	0.00996750621965879
dutc1256	52	5	0.00647797797929218	0.00613500014878809	0.00195065154102619	0.00333000021055341	0.00647461434573	0.00616347221269583	0.0020022037022048	0.00316966004336589
stan1293	53	-1	0.00673093693737931	0.00638000015169382	0.00146540421463327	0.00253750011324883	0.00672831980088232	0.00643819444424783	0.00149463537457579	0.00239570901936127
erzy1239	52.855	45.39	0.00519454999280592	0.00485999998636544	0.00290494440570337	0.00527749990578741	0.0051914479590804	0.00487193819814517	0.00299490244928537	0.00503433298541091
peno1244	17.067	262.99	0.0158194455704576	0.0161149995401502	0.00188034207875286	0.00329750007949769	0.0158244241676896	0.0159649631370687	0.00186818047753207	0.00316651765994417
west2369	28.659	55.159	0.00286657284100764	0.00283499993383884	0.000708819413871775	0.000897499907296151	0.00286943529512119	0.00285001180276999	0.000675798960394278	0.000806170146663337
fiji1243	-18	178.33	0.0175200446339493	0.0175450006499887	0.00160488195672738	0.0027099996805191	0.0175292070814713	0.0175062541642951	0.0015860273070245	0.0025466259523657
taga1270	14.06	121.747	0.0184494833362078	0.0186249995604157	0.00102139480214839	0.00146750127896667	0.0184510073381613	0.018686180585064	0.000910672433161509	0.00119061668778563
finn1318	64.763	25.558	0.00467721946954853	0.00346000003628433	0.00290736319007827	0.0049749999307096	0.00467390875256736	0.00356923540918312	0.00299820730510331	0.00444455345859751
stan1290	48	2	0.00717812296711907	0.00693500018678606	0.00202855853797579	0.00348249962553382	0.00717622522736862	0.00695777778552535	0.00206825266978074	0.00326559830055986
