glottocode,UVB,daltonism,n_colors,exists_blue,subsistence,stage,L1,macroarea,macroarea2,longitude,latitude,dist2water,dist2ocean,dist2lakes,dist2rivers,climate_PC1,climate_PC2,altitude,log_popSize,glottocode_family,latitude_family,longitude_family,macro_family,genetic_incomplete,genetic_full,V1_add_2,V2_add_2,V1_add_3,V2_add_3,V3_add_3,V1_add_4,V2_add_4,V3_add_4,V4_add_4,V1_ult_2,V2_ult_2,V1_qlc_2,V2_qlc_2,V3_qlc_2,V4_qlc_2,V5_qlc_2
taga1270,28.7544214628297,4.275,7,yes,AGR,999,Tagalog,Papunesia,Papunesia,121.747,14.06,11.513,12.233,17.831,11.513,2.581,0.09,203,16.884,aust1307,23.76,120.98,Austronesian,Micronesians,Micronesians,-4.72832334202346,-5.57674005294725,-4.72832334202346,-5.57674005294725,-5.82356072731394,-4.72832334202346,-5.57674005294725,-5.82356072731394,-1.12026204627273,-4.72832334202346,-5.57674005294725,17.046741787055,-53.9938064743995,-18.6241415496702,-37.8686748086057,-24.7989498324293
finn1318,7.52765603697088,8.20642857142857,11,yes,AGR,7,Finnish,Eurasia,Europe,25.5577,64.7628,9.545,9.545,13.462,15.419,-7.148,-3.413,15,15.363,ural1272,68,30,Uralic,Finns,Finns,-5.41304076751157,-5.12010170875831,-5.41304076751157,-5.12010170875831,-8.87216465874365,-5.41304076751157,-5.12010170875831,-8.87216465874365,0.420445629781184,-5.41304076751157,-5.12010170875831,-17.7363375312044,-7.93819055199843,-2.45215043716885,31.7366973474345,-9.10669290728943
stan1290,14.5238182401094,6.80216666666667,11,yes,AGR,7,French,Eurasia,Europe,2,48,6.333,205.72,6.333,9.634,-4.471,-2.522,130,17.795,indo1319,34,71.55,Indo-European,French,French,-5.7853137838161,-4.79772386119122,-5.7853137838161,-4.79772386119122,-8.66313842988927,-5.7853137838161,-4.79772386119122,-8.66313842988927,0.401405306500892,-5.7853137838161,-4.79772386119122,-39.4899105960565,5.41138816698265,-0.053421490316906,23.961575252148,-21.6029463794419
pula1263,28.9919871794872,1.30333333333333,6,no,AGR,999,Pulaar,Africa,Africa,-13.4482,13.8694,30.867,271.885,30.867,75.843,-0.234,4.131,40,14.823,atla1278,8.75,8.25,Niger-Congo,,Hausa,-5.35988422817162,-5.15379387999082,-5.35988422817162,-5.15379387999082,-8.63305156833292,-5.35988422817162,-5.15379387999082,-8.63305156833292,0.296662663806915,-5.35988422817162,-5.15379387999082,39.541566433713,19.0944471406502,-6.89706854363124,1.67126264868895,4.63781759212725
scot1245,9.39199667962423,6.58,10,yes,AGR,7,"Gaelic, Scottish",Eurasia,Europe,-5.24366,56.7574,4.761,4.761,9.522,8.288,-3.179,-5.075,162,10.98,indo1319,34,71.55,Indo-European,Orcadian,Orcadian,-103.087545889233,71.4418959178226,-103.087545889233,71.4418959178226,27.5347734632966,-103.087545889233,71.4418959178226,27.5347734632966,-39.99727898747,-103.087545889233,71.4418959178226,-38.7045168151457,5.21796099378414,-0.051114030217345,22.3777138492993,-19.7341842052904
gami1242,27.2669507575758,2.72,5,no,AGR,4,Gamit,Eurasia,Asia,73.6839,21.0697,5.579,80.857,5.579,15.37,0.112,3.034,277,12.557,indo1319,34,71.55,Indo-European,Indian..Mixed,Indian..Mixed,-6.78995701088452,-3.82055379285472,-6.78995701088452,-3.82055379285472,-10.7070364897371,-6.78995701088452,-3.82055379285472,-10.7070364897371,-4.42387463408364,-6.78995701088452,-3.82055379285472,-81.9092178516967,38.6129752704507,6.96970002374741,-55.856747788553,27.806539577065
stan1295,10.6425316764133,6.37375,11,yes,AGR,7,German,Eurasia,Europe,12.4676,48.649,3.688,316.967,3.688,3.688,-4.847,-2.701,441,18.137,indo1319,34,71.55,Indo-European,Germans,Germans,-5.84070427597542,-4.67499574202732,-5.84070427597542,-4.67499574202732,-9.3006915710529,-5.84070427597542,-4.67499574202732,-9.3006915710529,0.524120401588967,-5.84070427597542,-4.67499574202732,-41.9351775649899,6.01728362374645,-0.060704036205882,29.1499603938628,-28.0249088916624
pare1266,29.6521352313167,1.33,5,no,AGR,4,Parenga,Eurasia,Asia,83.9723,19.075,14.803,58.548,20.995,14.803,-0.369,1.605,576,0,aust1305,14.83,100.5,Austro-Asiatic,Thoti,Thoti,229.705718745339,-135.229162703468,229.705718745339,-135.229162703468,-23.8560456971203,229.705718745339,-135.229162703468,-23.8560456971203,1.14672019043935,229.705718745339,-135.229162703468,13.952972767692,-35.4431811094151,-10.7044690024155,-11.3849760454844,-0.639454740222683
mode1248,18.205869510978,5.75,9,yes,AGR,7,Greek,Eurasia,Europe,24.8699,42.3224,8.204,122.47,8.204,23.425,-4.366,-0.74,208,16.186,indo1319,34,71.55,Indo-European,Greeks,Greeks,-5.41309978083683,-5.12002479211944,-5.41309978083683,-5.12002479211944,-8.87219728717175,-5.41309978083683,-5.12002479211944,-8.87219728717175,0.420411697385295,-5.41309978083683,-5.12002479211944,-34.4482980008249,4.30358998984063,-0.040811896364017,16.3298599801802,-13.4163758397808
guja1252,27.1669364981865,5.08428571428571,12,yes,AGR,7,Gujarati,Eurasia,Asia,71.0962,22.687,1.017,26.769,1.017,53.182,-1.655,4.294,100,17.638,indo1319,34,71.55,Indo-European,Gujarati,Gujarati,-5.4017100156407,-5.03052889640699,-5.4017100156407,-5.03052889640699,-8.61961749079819,-5.4017100156407,-5.03052889640699,-8.61961749079819,1.51176568304204,-5.4017100156407,-5.03052889640699,-82.9301422802142,39.3699094222507,7.12602003401885,-57.5137239468459,28.7740224504193
