glottocode,daltonism,n_colors,exists_blue,subsistence,stage,L1,macroarea,longitude,latitude,log_popSize,glottocode_family,latitude_family,longitude_family,macro_family,genetic_incomplete,genetic_full
nyun1247,0.97,7,yes,HG,999,Nyunga,Australia,118.151,-33.12,5.48,pama1250,-12.17,142.49,Pama-Nyungan,Australian.Aborigines,Australian.Aborigines
khan1278,2.09,5,no,AGR,4,Ogoni,Africa,7.444,4.709,12.21,atla1278,8.75,8.25,Niger-Congo,Bantu.speakers,Bantu.speakers
pott1240,2.42,3,no,AGR,2,Ollari,Eurasia,82.759,18.597,9.62,drav1251,21.53,79.92,Dravidian,Indian..Mixed,Indian..Mixed
rian1262,1.54,6,yes,AGR,5,Riang,Eurasia,92.032,23.68,11.25,sino1245,26.1,94.75,Sino-Tibetan,,Dai
poli1260,10.68,10,yes,AGR,7,Polish,Eurasia,18.626,51.844,17.42,indo1319,34,71.55,Indo-European,Europeans..Mixed,Europeans..Mixed
west2386,4.82,11,yes,AGR,7,Punjab,Eurasia,75.347,30.095,17.92,indo1319,34,71.55,Indo-European,Punjabi,Punjabi
rund1242,2.6,3,no,AGR,2,Rundi,Africa,31.319,-1.442,16.12,atla1278,8.75,8.25,Niger-Congo,Masai,Masai
russ1263,7.97,12,yes,AGR,7,Russian,Eurasia,50,59,18.74,indo1319,34,71.55,Indo-European,Russians,Russians
lule1254,6.3,9,yes,AGR,7,Saami,Eurasia,17.806,67.276,7.31,ural1272,68,30,Uralic,,Khanty
samo1305,0,6,yes,AGR,5,Samoa,Papunesia,188.17,-13.92,12.2,aust1307,23.76,120.98,Austronesian,Samoans,Samoans
sere1260,1.57,7,yes,AGR,999,Sereer,Africa,-16.392,13.894,13.94,atla1278,8.75,8.25,Niger-Congo,Bantu.speakers,Bantu.speakers
shua1257,7.1,9,yes,AGR,999,Shuar,South America,281.811,-3.451,10.46,jiva1245,-3.45,281.81,Chicham,Peruvian,Peruvian
sici1248,5.03,6,yes,AGR,5,Sicilian,Eurasia,14.041,37.574,15.36,indo1319,34,71.55,Indo-European,Sardinian,Sardinian
sind1272,3.1,6,no,AGR,999,Sindhi,Eurasia,69,26,16.73,indo1319,34,71.55,Indo-European,Sindhi,Sindhi
sout2807,2.45,7,no,AGR,999,Sotho (Southern),Africa,27.895,-30.445,14.39,atla1278,8.75,8.25,Niger-Congo,,San
sout3123,6.45,10,yes,AGR,7,Arabic (South Levantine),Eurasia,38.084,31.56,15.07,afro1255,8.67,8.08,Afro-Asiatic,Palestinian,Palestinian
swis1247,6.97,11,yes,AGR,7,Swiss German,Eurasia,8.464,47.052,15.35,indo1319,34,71.55,Indo-European,Europeans..Mixed,Europeans..Mixed
tata1255,6.09,10,yes,AGR,7,Tatar,Eurasia,50,55,15.27,turk1311,56,125,Altaic,,Chuvash
telu1262,2.1,8,yes,HG,999,Telugu,Eurasia,78.702,16.453,18.12,drav1251,21.53,79.92,Dravidian,Telugu,Telugu
thai1261,5.61,8,yes,AGR,999,Thai,Eurasia,100.671,14.192,16.82,taik1256,24,108,Tai-Kadai,Lao.Loum,Lao.Loum
ticu1245,0,5,no,AGR,4,Ticuna,South America,290.128,-3.663,10.39,ticu1244,-3.66,290.13,Ticuna-Yuri,Ticuna,Ticuna
tigr1270,2.86,5,no,AGR,4,Tigre,Africa,38.223,17.349,13.86,afro1255,8.67,8.08,Afro-Asiatic,,Somali
tong1325,7.5,6,no,AGR,999,Tonga,Papunesia,184.75,-21.17,11.48,aust1307,23.76,120.98,Austronesian,Micronesians,Micronesians
tswa1253,2,5,no,AGR,4,Tswana,Africa,24.759,-24.368,13.88,atla1278,8.75,8.25,Niger-Congo,Bantu.speakers,Bantu.speakers
tuni1259,5.49,11,yes,AGR,7,Arabic (Tunisian),Africa,9.562,33.797,16.01,afro1255,8.67,8.08,Afro-Asiatic,Tunisian,Tunisian
nucl1301,2.94,11,yes,AGR,7,Turkish,Eurasia,32.867,39.867,17.65,turk1311,56,125,Altaic,Turks,Turks
tzel1254,0,5,no,AGR,4,Tzeltal,North America,267.721,16.638,12.83,maya1287,15.42,268.17,Mayan,Mexicans,Mexicans
tzot1259,1.72,5,no,AGR,4,Tzotzil,South America,267.26,16.64,18.62,maya1287,15.42,268.17,Mayan,Mexicans,Mexicans
ukra1253,6.52,12,yes,AGR,7,Ukrainian,Eurasia,24.396,48.176,17.28,indo1319,34,71.55,Indo-European,Russians,Russians
urdu1245,5.41,11,yes,AGR,7,Urdu,Eurasia,67,25,16.12,indo1319,34,71.55,Indo-European,,Burusho
vasa1239,10,5,no,AGR,4,Vasavi,Eurasia,73.865,21.362,14,indo1319,34,71.55,Indo-European,Indian..Mixed,Indian..Mixed
cent2150,2.3,6,no,AGR,999,Tunebo (Central),South America,287.903,6.887,7.82,chib1249,9.75,276.58,Chibchan,Colombian,Colombian
vend1245,1.19,5,no,AGR,4,Venda,Africa,29.952,-22.188,13.8,atla1278,8.75,8.25,Niger-Congo,,San
viet1252,7.56,10,no,AGR,999,Vietnamese,Eurasia,105.774,20.681,18,aust1305,14.83,100.5,Austro-Asiatic,Vietnamese,Vietnamese
wall1257,7.6,8,yes,AGR,7,East Uvean,Papunesia,183.793,-13.29,9.17,aust1307,23.76,120.98,Austronesian,Micronesians,Micronesians
